,source,sentence,bias
71fox00,fox,It used to be that taking a bite of a chicken sandwich just meant you were hungry.,0
71fox01,fox,"Now it has become a symbol of whether you stand for or against same-sex marriage, or – alternately – the right to express your personal views without fear of retaliation.",0
71fox02,fox,"At Chick-fil-A locations across the country, people voted with their wallets today, coming out to express support for the fast-food chain after CEO Dan Cathy said in an interview that he is a firm backer of traditional marriage.",0
71fox03,fox,"“I believe what the Bible says (about marriage),” Chauncy Fields told us after wolfing down a breakfast of chicken and biscuits.",0
71fox04,fox,“So I came out here to support Chick-fil-A and the movement.”,0
71fox05,fox,"Chris Johnson sees a double standard. “He (Dan Cathy) said the exact same thing that President Obama said,” Johnson told Fox News -- referring to the president’s past opposition to gay marriage – “And he gets negativity, and Obama gets positivity.”",0
71fox06,fox,"At one Atlanta location, the restaurant was packed, while the line for the drive-thru looped twice around the building and out into the street.",0
71fox07,fox,The backlash across the country against Chick-fil-A has been ferocious.,0
71fox09,fox,Those comments drew a sharp response from Rev. William Owens of the Coalition of African American Pastors.,0
71fox10,fox,"“Some people are saying that because of the position that Chick-fil-A is taking, they don’t want them in their cities.",0
71fox12,fox,"It is the same thing that happened when I was marching for civil rights, when they didn’t want a black to come into their restaurant,"" he told a press conference in Washington, DC.",0
71fox13,fox,The Chick-fil-A firestorm has taken on different meanings for different people.,0
71fox14,fox,"For some, it harks to the days of intolerance and segregation.",0
71fox15,fox,"For others, it is about religious views of marriage.",0
71fox16,fox,"But for most people who Fox News spoke to today, it is about free speech.",0
71fox17,fox,“I think it comes down to a First Amendment issue.,0
71fox18,fox,"I mean, I do believe in the traditional values of marriage between a man and a woman,” youth pastor Stephen Lenahan told Fox News after a leisurely breakfast with three members of his ministry.",0
71fox19,fox,"He is also puzzled as to why Dan Cathy is such a target, when other corporate CEOs who openly support same-sex marriage are not similarly criticized by conservatives.",0
71fox20,fox,Lenahan says he sees a bigger issue at work here.,0
71fox22,fox,There’s no dialogue taking place to get to the heart of what we really believe as a nation and what is truth.”,0
71fox23,fox,Chick-fil-A Appreciation Day – as it is being called was the idea of former Arkansas governor and Fox News contributor Mike Huckabee.,0
71fox24,fox,"But as protests against Chick-fil-A swelled across the country, dozens of groups and prominent individuals joined in support of the company.",0
71fox25,fox,"Among the groups is Project 21, a black conservative activist organization.",0
71fox26,fox,"One of its members, Demetrios Minor, said critics of Dan Cathy have taken his statements completely out of context.",0
71fox27,fox,"“I think liberals are missing a vital point in their blind hatred of Chick-fil-A,” Minor said in a statement sent to Fox News.",0
71fox29,fox,Crtitics of Chick-fil-A argue that the company’s opposition to gay marriage goes well beyond Dan Cathy’s statements.,0
71fox30,fox,"Over the years, its philanthropic wing, WinShape, has donated millions of dollars to outside organizations that actively lobby against efforts to legalize same-sex marriage.",0
71fox31,fox,"On Friday, supporters of same-sex marriage will have their say.",0
71fox32,fox,They plan a “kiss-in” at Chick-fil-A restaurants across the country – encouraging gays and lesbians to share a public display of affection at the home of the chicken sandwich.,0
